cn,latin,aliases,confidence,source
嗜腐属,Micoletzkya,,seed-verified,user table 2026-09 (verified against Nemaplex)
真畸头属,Euteratocephalus,,seed-verified,user table 2026-09 (verified against Nemaplex)
威尔疣线属,Wilsonema,Wilsotylus,seed-verified,user table 2026-09 (verified against Nemaplex)
金线属,Chrysonema,,seed-verified,user table 2026-09 (verified against Nemaplex)
图鲁玛那瓦属,Torumanawa,,seed-verified,user table 2026-09 (verified against Nemaplex)
齿腔属,Odontolaimus,,seed-verified,user table 2026-09 (verified against Nemaplex)
三裂体属,Trischistoma,,seed-verified,user table 2026-09 (verified against Nemaplex)
索努斯属,Thonus,,seed-verified,user table 2026-09 (verified against Nemaplex)
巴氏属,Bastiania,,seed-verified,user table 2026-09 (verified against Nemaplex)
张伯塞线虫属,Chambersiella,,seed-verified,user table 2026-09 (verified against Nemaplex)
根结属,Meloidogyne,,seed-verified,user table 2026-09 (verified against Nemaplex)
丝尾属,Oxydirus,,seed-verified,user table 2026-09 (verified against Nemaplex)
艾端属,Ereptonema,,seed-verified,user table 2026-09 (verified against Nemaplex)
异皮属,Heterodera,,seed-verified,user table 2026-09 (verified against Nemaplex)
钵盘属,Mylodiscus,,seed-verified,user table 2026-09 (verified against Nemaplex)
刻点属,Punctodora,,seed-verified,user table 2026-09 (verified against Nemaplex)
沟环属,Ogma,,seed-verified,user table 2026-09 (verified against Nemaplex)
地单宫属,Geomonhystera,,seed-verified,user table 2026-09 (verified against Nemaplex)
锥属,Dolichodorus,,seed-verified,user table 2026-09 (verified against Nemaplex)
拟桑尼属,Thorneella,,seed-verified,user table 2026-09 (verified against Nemaplex)
单棘属,Mononchulus,,seed-verified,user table 2026-09 (verified against Nemaplex)
沙丽属,Sarisodera,,seed-verified,user table 2026-09 (verified against Nemaplex)
伊龙属,Ironus,,seed-verified,user table 2026-09 (verified against Nemaplex)
托布利属,Tobrilus,,seed-verified,user table 2026-09 (verified against Nemaplex)
桑尼属,Thornia,,seed-verified,user table 2026-09 (verified against Nemaplex)
园顶属,Domorganus,,seed-verified,user table 2026-09 (verified against Nemaplex)
微线属,Micronema,,seed-unresolved,user table 2026-09 (verified against Nemaplex)
连胃属,Chronogaster,,seed-verified,user table 2026-09 (verified against Nemaplex)
大节片属,Mesocriconema,Macroposthonia,seed-verified,user table 2026-09 (verified against Nemaplex)
角头属,Tylocephalus,,seed-verified,user table 2026-09 (verified against Nemaplex)
威尔斯疣线属,Wilsonema,Wilsotylus,seed-verified,user table 2026-09 (verified against Nemaplex)
杆咽属,Rhabdolaimus,,seed-verified,user table 2026-09 (verified against Nemaplex)
异齿属,Judonchulus,Fudonchulus,seed-verified,user table 2026-09 (verified against Nemaplex)
巨宫属,Tylolaimophorus,,seed-verified,user table 2026-09 (verified against Nemaplex)
